video_link,views_count,unique_students_count,popular_fragments
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/b66d79f0b8ca4b78bc2de7b9555d7286/a5db68bf79e944419d52014684b6f719/,1572,155,"5:24-8:50"
https://preview.openedu.ru/courses/course-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac/courseware/484762194a504410855c71caa954ca7b/3e9b4d8b02ef461aab3fe79a82f954bf/,4542,163,"5:11-10:23"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@00fe454c647e41f8af8b3a5354a60c3a,18249,186,"8:09-12:26"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@deb85c93aeef448bb846ec1ef58cd525,8968,173,"5:59-11:00"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@0bb1a2b5c08e4eae89f9cbce206c26e4,7258,206,"6:56-11:55"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@61d825025c1c4cdeb186826a3b752ebb,4587,200,"4:26-8:27"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@5a44d48ce12d4a4d9d2551b64729528f,4420,170,"6:17-10:24"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@b24ba52e2a734393813b7bdf9e5b88af,4289,194,"5:24-9:30"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@672f732716b94827aa7fe9c0341f8b24,4240,186,"9:06-15:07"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@d86df5148b7d45d8a40f324a6fc6a6e8,4143,188,"7:37-11:37"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@2e0c3adce02d4729a82c7fc81457a177,3661,197,"4:51-8:39"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@8d922f64cc0b425db4748d0ea1aee151,3428,184,"3:27-5:28"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@29b1dc3299d34b0ab787b4178807a8e5,3348,170,"3:09-5:19"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@997f379b4e404680b84380324c8e7308,1760,75,"3:21-5:43"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@b880490180cd461eb7d7b912fe610bad,1520,58,"Нет"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@ce835ddf3b1b4c719428eb54ee01c260,1345,73,"5:00-8:23"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@eb0378799e1b48eeb7ca500e8ee43406,1338,77,"3:38-3:53, 3:55-6:12"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@4f9e1d6f76c140018e5d1424295ac03b,1283,72,"4:55-8:31"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@1b724bfaf43e4fa2bced2e52e4f44529,1073,55,"Нет"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@858135006c104b8fa96bf453a628e956,1032,56,"Нет"
https://courses.openedu.ru/xblock/block-v1:ITMOUniversity+DATSTPRO+spring_2024_ITMO_bac+type@vertical+block@fa545d1424394ea58610b36994827d19,672,57,"Нет"
